epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,80.0792,1.11717,2.33314,1.41134,1.27978,0.46157,0.06235,0.09508,0.04541,0.43709,0.04652,0.06648,0.02353,1.79281,4.25315,3.07449,1.70176,0.000239964,0.000239964,0.000239964
73,81.2634,1.17466,2.23642,1.38667,1.31125,0.4779,0.06583,0.08981,0.04042,0.44411,0.04924,0.06471,0.02393,1.79531,4.28895,3.04688,1.70847,0.000238132,0.000238132,0.000238132
74,82.4544,1.11212,2.16062,1.32416,1.25825,0.45418,0.0878,0.09187,0.0417,0.43258,0.05274,0.06141,0.02393,1.82365,4.3323,3.02832,1.7317,0.000236301,0.000236301,0.000236301
75,83.6948,1.12214,2.28759,1.33906,1.26629,0.46871,0.0843,0.09338,0.04822,0.43034,0.04847,0.05891,0.02786,1.83447,4.35995,2.98363,1.73774,0.000234469,0.000234469,0.000234469
76,84.8893,1.11224,2.2637,1.34545,1.26581,0.49053,0.0843,0.08275,0.04181,0.43299,0.04147,0.04175,0.01925,1.83066,4.35707,3.00891,1.74235,0.000232638,0.000232638,0.000232638
77,86.0669,1.14628,2.31673,1.399,1.30865,0.58372,0.0652,0.08656,0.04383,0.52372,0.04373,0.05179,0.01973,1.79532,4.34936,3.05616,1.72163,0.000230806,0.000230806,0.000230806
78,87.3481,1.1015,2.16089,1.30389,1.2834,0.55182,0.06626,0.09065,0.05115,0.48423,0.04773,0.06058,0.02019,1.77509,4.33892,3.0923,1.70226,0.000228974,0.000228974,0.000228974
79,88.5541,1.09594,2.27739,1.2619,1.24497,0.53261,0.06505,0.09621,0.05807,0.44813,0.04527,0.05344,0.02308,1.79672,4.41574,3.11573,1.71905,0.000227143,0.000227143,0.000227143
80,89.7445,1.15454,2.26579,1.30016,1.28684,0.50049,0.0684,0.10298,0.06376,0.4433,0.0413,0.06073,0.02808,1.76611,4.48657,3.11325,1.70037,0.000225311,0.000225311,0.000225311
81,90.8995,1.08563,2.1756,1.25855,1.22757,0.50922,0.07795,0.10839,0.06567,0.44407,0.04787,0.05904,0.03111,1.77128,4.56254,3.08817,1.68805,0.00022348,0.00022348,0.00022348
82,92.0059,1.04457,2.15571,1.21172,1.23906,0.51678,0.07439,0.10999,0.06929,0.43018,0.04196,0.06201,0.03334,1.76794,4.56332,3.07641,1.68307,0.000221648,0.000221648,0.000221648
83,93.1019,1.00118,2.05895,1.18826,1.22472,0.34596,0.09178,0.12443,0.07991,0.27121,0.03768,0.07633,0.04381,1.70031,4.51392,3.03994,1.64606,0.000219817,0.000219817,0.000219817
84,94.1845,1.04799,2.16815,1.19508,1.23661,0.35769,0.08052,0.1261,0.08302,0.27034,0.03794,0.07851,0.0463,1.72526,4.42729,3.07346,1.68253,0.000217985,0.000217985,0.000217985
85,95.3025,1.12029,2.30562,1.27788,1.23447,0.37196,0.07689,0.12796,0.08361,0.2762,0.04623,0.08274,0.04643,1.74389,4.36182,3.01747,1.6943,0.000216154,0.000216154,0.000216154
86,96.3874,1.0459,2.14077,1.21562,1.25759,0.53516,0.07197,0.12872,0.08147,0.27896,0.04973,0.08233,0.04524,1.75855,4.36279,2.99866,1.70975,0.000214322,0.000214322,0.000214322
87,97.5814,1.07672,2.22898,1.227,1.21856,0.45241,0.07624,0.12319,0.07309,0.35703,0.054,0.08404,0.046,1.7769,4.41268,2.97293,1.71434,0.000212491,0.000212491,0.000212491
88,98.7073,1.0325,2.28233,1.23203,1.24085,0.4422,0.08014,0.10991,0.06502,0.35312,0.054,0.07287,0.0366,1.80307,4.40466,2.99232,1.72057,0.000210659,0.000210659,0.000210659
89,99.8398,1.07098,2.21216,1.2477,1.24216,0.41435,0.09606,0.1022,0.0592,0.34445,0.04973,0.07006,0.03522,1.78312,4.43214,3.00848,1.718,0.000208828,0.000208828,0.000208828
90,100.926,1.05517,2.20745,1.20157,1.19711,0.26285,0.10033,0.09803,0.05487,0.35751,0.03365,0.06288,0.0327,1.7785,4.43765,2.99862,1.72923,0.000206996,0.000206996,0.000206996
91,102.047,1.04903,2.19505,1.26591,1.23895,0.41075,0.07686,0.08728,0.04655,0.28072,0.06546,0.05786,0.02858,1.77538,4.47441,2.98993,1.73942,0.000205165,0.000205165,0.000205165
92,103.154,1.04032,2.06317,1.15152,1.24347,0.41461,0.0789,0.09735,0.05198,0.26528,0.04623,0.06247,0.03217,1.77227,4.48931,2.99939,1.74708,0.000203333,0.000203333,0.000203333
93,104.258,1.04892,2.21545,1.21497,1.19701,0.48746,0.08188,0.09869,0.05353,0.33845,0.05051,0.06269,0.03235,1.79282,4.53627,2.99323,1.76171,0.000201502,0.000201502,0.000201502
94,105.37,1.04755,2.08272,1.21597,1.20933,0.60224,0.08722,0.10673,0.05648,0.52743,0.05716,0.07147,0.03512,1.82634,4.59282,2.95992,1.78282,0.00019967,0.00019967,0.00019967
95,106.489,1.09315,2.24116,1.21763,1.25267,0.59564,0.0904,0.10706,0.05642,0.52949,0.05903,0.07045,0.03357,1.83824,4.64522,2.93186,1.79812,0.000197839,0.000197839,0.000197839
96,107.584,1.01204,2.01964,1.10593,1.17742,0.58508,0.09149,0.10676,0.05563,0.5288,0.06012,0.07179,0.03444,1.83475,4.66247,2.89743,1.81849,0.000196008,0.000196008,0.000196008
97,108.692,1.035,2.17476,1.18097,1.21695,0.59454,0.0865,0.11558,0.06168,0.55421,0.06789,0.0925,0.04332,1.8206,4.6611,2.85354,1.79803,0.000194176,0.000194176,0.000194176
98,109.883,1.02926,2.04454,1.20078,1.23858,0.5941,0.08043,0.11749,0.0619,0.57433,0.06012,0.09275,0.0417,1.83755,4.60025,2.83102,1.80676,0.000192345,0.000192345,0.000192345
99,111.02,1.05577,2.11364,1.23776,1.23531,0.5185,0.08296,0.11882,0.06286,0.57932,0.05585,0.08546,0.04314,1.81415,4.56883,2.79257,1.77735,0.000190513,0.000190513,0.000190513
100,112.143,0.93876,1.97768,1.15452,1.17642,0.52232,0.08432,0.10261,0.05516,0.49476,0.05585,0.07055,0.036,1.84942,4.57572,2.79163,1.81335,0.000188682,0.000188682,0.000188682
101,113.241,0.95777,1.99352,1.09315,1.19103,0.52607,0.0908,0.10312,0.05372,0.50507,0.04938,0.06865,0.0354,1.86542,4.58515,2.82924,1.82643,0.00018685,0.00018685,0.00018685
102,114.383,1.01716,2.03182,1.10048,1.1901,0.52296,0.08537,0.09935,0.05246,0.47671,0.05585,0.07119,0.03426,1.84052,4.60916,2.85486,1.80219,0.000185018,0.000185018,0.000185018
103,115.483,1.00567,2.00153,1.13442,1.19385,0.44499,0.08644,0.09754,0.05267,0.40115,0.05934,0.0703,0.03867,1.8384,4.63276,2.86817,1.80206,0.000183187,0.000183187,0.000183187
104,116.588,0.99689,2.10389,1.09467,1.18118,0.44426,0.09071,0.10008,0.04985,0.40167,0.06116,0.0732,0.03683,1.83771,4.60929,2.91755,1.77932,0.000181355,0.000181355,0.000181355
105,117.711,1.02071,2.10626,1.17569,1.22417,0.43141,0.09499,0.09924,0.04846,0.38852,0.07139,0.0746,0.0362,1.8394,4.54281,2.95611,1.77255,0.000179524,0.000179524,0.000179524
106,118.807,0.97081,2.03275,1.08863,1.17185,0.42949,0.08765,0.09702,0.0464,0.38912,0.06789,0.06637,0.03308,1.84834,4.53924,2.99408,1.78617,0.000177692,0.000177692,0.000177692
107,119.924,0.9582,2.03891,1.09239,1.17658,0.34162,0.09071,0.09861,0.04535,0.39922,0.06711,0.06897,0.03365,1.81998,4.57711,2.99727,1.75376,0.000175861,0.000175861,0.000175861
108,121.063,0.98938,2.03886,1.08217,1.16791,0.42778,0.08912,0.0994,0.04681,0.38697,0.07139,0.07434,0.03376,1.82294,4.6118,2.97253,1.75659,0.00017403,0.00017403,0.00017403
109,122.212,0.93729,1.98203,1.04864,1.1766,0.414,0.11225,0.09634,0.05098,0.3756,0.08622,0.07256,0.03772,1.82354,4.66705,2.95929,1.75309,0.000172198,0.000172198,0.000172198
110,123.327,0.96608,2.04392,1.09839,1.19214,0.40476,0.10383,0.09546,0.05029,0.34683,0.05828,0.07084,0.03815,1.84386,4.71157,2.94111,1.76948,0.000170366,0.000170366,0.000170366
111,124.43,0.94418,1.90789,1.0452,1.19511,0.4367,0.08766,0.1,0.0495,0.34532,0.05478,0.07096,0.03725,1.84149,4.71619,2.90649,1.77169,0.000168535,0.000168535,0.000168535
112,125.512,0.94643,2.0239,1.03941,1.16397,0.43737,0.09322,0.0991,0.04845,0.27339,0.06177,0.06603,0.03742,1.81485,4.64654,2.88563,1.76804,0.000166703,0.000166703,0.000166703
113,126.632,0.92112,1.93942,1.02414,1.14775,0.3546,0.0937,0.09835,0.04897,0.27138,0.05771,0.06623,0.03602,1.80729,4.59269,2.8791,1.76469,0.000164872,0.000164872,0.000164872
114,127.779,0.93536,1.95778,1.06922,1.15784,0.35991,0.09955,0.10128,0.04865,0.26969,0.0558,0.06519,0.0333,1.80814,4.55917,2.8983,1.76757,0.000163041,0.000163041,0.000163041
115,128.893,0.93028,1.88751,1.02389,1.14915,0.36346,0.09836,0.09982,0.05052,0.27763,0.06284,0.06264,0.03287,1.81329,4.56803,2.87624,1.77399,0.000161209,0.000161209,0.000161209
